"year","LEVEL","cnty","own_code","naics","employment","wages","largest_firm","total_firms"
2013.0,"2","014","5","48-49",96.33333333333334,5588782.0,19.5,25
2013.0,"2","014","5","51",3542.833333333333,414442401,2441.5,56
2013.0,"2","014","5","52",986.4999999999999,84006147,240.66666666666666,149
2013.0,"2","014","5","53",454.49999999999994,20785796,125.25000000000001,102
2013.0,"2","014","5","54",6001.083333333327,518096602,1319.9166666666667,622
2013.0,"2","014","5","55",2256.333333333333,325379058,450.33333333333337,41
2013.0,"2","014","5","56",1164.6666666666665,43035872,148.16666666666666,140
2013.0,"2","014","5","61",391.49999999999994,11094701,123.50000000000001,52
2013.0,"2","014","5","62",1639.5000000000007,65785127,207.91666666666666,158
2013.0,"2","014","5","71",351.25,5538939.0,192.66666666666666,30
2013.0,"2","014","5","72",3035.6666666666656,57598088,315.9166666666667,162
2013.0,"2","014","5","81",570.25,18477080,34.083333333333336,173
2013.0,"2","014","5","99",9.916666666666668,338694.0,2.0,15
2013.0,"2","015","5","11",50.16666666666667,985846.0,14.75,10
2013.0,"2","015","5","21",18.583333333333332,707131.0,9.5,5
2013.0,"2","015","5","22",48.5,3649210.0,33.08333333333333,6
2013.0,"2","015","5","23",503.33333333333326,24499052,153.33333333333334,136
2013.0,"2","015","5","31-33",211.41666666666663,6420422.0,57.416666666666664,35
2013.0,"2","015","5","42",234.83333333333337,7858403.0,49.91666666666667,34
2013.0,"2","015","5","44-45",967.7499999999999,24773231,181.08333333333334,133
2013.0,"2","015","5","48-49",63.0,1844954.0,16.0,13
2013.0,"2","015","5","51",89.75,3450912.0,35.833333333333336,18
2013.0,"2","015","5","52",239.33333333333331,12417027,73.91666666666666,34
2013.0,"2","015","5","53",125.24999999999997,4144456.0,9.25,75
2013.0,"2","015","5","54",213.25000000000006,8724533.0,8.0,120
2013.0,"2","015","5","55",1.5833333333333333,31806.0,1.0,3
2013.0,"2","015","5","56",65.66666666666669,1647932.0,11.0,26
2013.0,"2","015","5","61",65.91666666666667,1191442.0,18.083333333333332,10
2013.0,"2","015","5","62",444.75000000000006,14948905,117.5,62
2013.0,"2","015","5","71",417.08333333333326,6820770.0,130.16666666666666,34
2013.0,"2","015","5","72",1167.333333333334,17983245,133.58333333333334,107
2013.0,"2","015","5","81",126.83333333333336,2823172.0,16.083333333333336,44
2013.0,"2","015","5","99",0.5,6553.0,0.25,4
2013.0,"2","017","5","11",38.0,1447316.0,7.25,9
2013.0,"2","017","5","21",106.91666666666669,6147792.0,34.166666666666664,13
2013.0,"2","017","5","22",4.0,327604.0,4.0,1
2013.0,"2","017","5","23",4.0,171206.0,2.166666666666667,4
2013.0,"2","017","5","31-33",16.666666666666668,1153172.0,16.666666666666668,1
2013.0,"2","017","5","42",40.66666666666667,2035924.0,24.583333333333336,4
2013.0,"2","017","5","44-45",66.41666666666667,1498031.0,13.333333333333334,15
2013.0,"2","017","5","48-49",31.833333333333332,2046626.0,17.166666666666664,4
2013.0,"2","017","5","51",9.25,158742.0,6.5,2
2013.0,"2","017","5","52",59.66666666666667,3097948.0,22.083333333333332,8
2013.0,"2","017","5","53",3.0,89633.0,2.0,2
2013.0,"2","017","5","54",3.0,32000.0,2.0,2
2013.0,"2","017","5","55",12.833333333333332,523221.0,12.833333333333332,1
2013.0,"2","017","5","56",4.083333333333333,67514.0,3.75,2
