var,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
jobs_ttu_co,462061,463185,454904,449527,452450,459685,465786,478442,475061,448873,443268,449987,458828,473170.66666666657,490002.0833333334,510879,526559.5000000001,542820.9166666665,558332.5,570328,568601.8333333331,592969.0833333333,607732,620721.8333333334,622792.5157151403
incws_ttu_co,13402170986,13822881526,13512905381,13395809797,13863732806,14284753309,15351286632,16132955751,16366558248,15206350273,15289262296,15950446852,16804859183,17857175039,19143578280,20380632324,20988503770,22253190111,23339982086,24941151930,25984822734,28829167658,31834799472,33850235105,35125265438
incp_min_co,97153,105493,100052,126448,130611,209197,214426,327374,416015,242955,265202,301187,292434,298967,305052,243917,211335,272162,286564,261440,209187,154793,287630,185026,185789.2531537029
jobs_min_co,13485,14410,14440,14756,15842,19355,23144,28318,31588,27318,27678,31353,33705,34329.83333333333,37847.25,34221.24999999999,26908.91666666667,29885.083333333332,32377.666666666668,32340.666666666664,25314.833333333332,22241.249999999996,23755.249999999996,23754.166666666664,23852.155287843787
incws_min_co,732172426,950862054,816610316,855214832,1176049534,1387009570,1705300547,2137575537,2686059688,2121642256,2342415216,2847020716,3074172616,3322749228,3826204140,3495790738,2700298834,2992753599,3402360799,3524362175,3014917527,2712488182,3163066217,3587148614,3357403244
inc_min_co,732269579,950967547,816710368,855341280,1176180145,1387218767,1705514973,2137902911,2686475703,2121885211,2342680418,2847321903,3074465050,3323048195,3826509192,3496034655,2700510169,2993025761,3402647363,3524623615,3015126714,2712642975,3163353847,3587333640,3357589033.253154
ws_min_co,11625,12641,12687,12838,14067,16749,20410,24638,27833,23716,23864,27341,29790,30437.83333333333,33831.25,30488.249999999993,23540.91666666667,25582.083333333332,28166.666666666668,28472.666666666664,21865.833333333332,19955.249999999996,20787.249999999996,21575.166666666664,21664.166666666664
prop_min_co,1860,1769,1753,1918,1775,2606,2734,3680,3755,3602,3814,4012,3915,3892,4016,3733,3368,4303,4211,3868,3449,2286,2968,2179,2187.9886211771245
prop_util_co,154,68,75,118,108,279,281,283,293,289,278,270,281,264,318,335,342,269,286,284,289,309,337,349,347.25760574276313
inc_util_co,455779367,522759675,523180783,505525298,567425336,570331969,748923095,615565178,651619230,665512627,695413285,718659557,781572065,684308908,731754066,765383833,788353283,800344225,839154775,901179103,952418205,1008186138,1080577201,1225403910,1269338476.103296
