var,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
w_accom_co,2712330834,2818482073,2861231705,2928775260,3081566177,3221473482,3435364754,3770861330,3915991093,3744135588,3831918595,4072858928,4292411606,4552880390,4881417797,5331481198,5683654736,6149513626,6624558889,7097036273,5813502691,7266213720,8758904713,9479221324,9753196551
ews_accom_co,203704,205077,205305,205039,209188,214184,220754,225787,227248,217775,217978,225725,232872,242074,251042,261649,270687,277783,282559,285965,227307,254979,281025,289913,288852
wws_accom_co,2712137420,2818288728,2861020262,2928538398,3081315714,3221221738,3435111114,3770613814,3915753518,3743935048,3831712536,4072636447,4292193095,4552642818,4881168641,5331210835,5683370695,6149212242,6624223341,7096697838,5813190831,7265850794,8758482467,9478752296,9753196551
eprop_accom_co,3426,3527,3726,3916,4306,4514,4639,4842,4803,4788,4980,5162,5090,5428,5830,5865,6361,7051,8545,9330,8731,9892,10523,11319,0
wprop_accom_co,193414,193345,211443,236862,250463,251744,253640,247516,237575,200540,206059,222481,218511,237572,249156,270363,284041,301384,335548,338435,311860,362926,422246,469028,0
wprop_othser_co,985630,1025524,1072635,1132397,1208057,1245887,1307513,1401113,1397381,1282542,1356191,1441866,1496278,1523777,1627600,1668992,1737678,1807169,1601673,1619520,1444232,1728632,1997815,2156930,0
wws_othser_co,1594922988,1696710585,1755783969,1748014527,1837403706,1872686520,1977090549,2110017113,2228136177,2149751468,2168468892,2245417111,2360125360,2457603118,2624163585,2817107390,2981497150,3165934721,3362568098,3584224085,3503778483,3924988576,4488849731,4923892749,5201216054
ews_othser_co,65054,66345,66669,65693,65315,65118,65664,67043,68505,65707,65277,66136,67989,69568,72450,75172,78042,80034,82040,84571,76766,81061,85615,89118,91345
e_othser_co,105648,107791,108352,110257,112203,112389,113011,115184,116655,115009,117151,120315,122514,125206,130019,133380,136979,140324,130416,130884,121856,128478,134631,140488,91345
w_othser_co,1595908618,1697736109,1756856604,1749146924,1838611763,1873932407,1978398062,2111418226,2229533558,2151034010,2169825083,2246858977,2361621638,2459126895,2625791185,2818776382,2983234828,3167741890,3364169771,3585843605,3505222715,3926717208,4490847546,4926049679,5201216054
eprop_othser_co,40594,41446,41683,44564,46888,47271,47347,48141,48150,49302,51874,54179,54525,55638,57569,58208,58937,60290,48376,46313,45090,47417,49016,51370,0
eprop_govf_co,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
w_govf_co,7740432773,7853927754,8301807225,8644510503,9225695718,9597428769,9820889406,10251810387,10492577685,10885061676,11628652527,11850121524,11821363719,11444699547,11721571974,12136864983,12508737087,12757607793,13319073351,13607131548,14315884218,14706728517,15239067297,16712881737,17999759031
e_govf_co,164163,158731,159556,160455,158571,157952,156525,156361,157149,160414,168644,164744,163801,160628,158009,160081,162231,160511,158531,159136,164004,162452,160037,165635,171265
wprop_govf_co,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wws_govf_co,7740432773,7853927754,8301807225,8644510503,9225695718,9597428769,9820889406,10251810387,10492577685,10885061676,11628652527,11850121524,11821363719,11444699547,11721571974,12136864983,12508737087,12757607793,13319073351,13607131548,14315884218,14706728517,15239067297,16712881737,17999759031
ews_govf_co,164163,158731,159556,160455,158571,157952,156525,156361,157149,160414,168644,164744,163801,160628,158009,160081,162231,160511,158531,159136,164004,162452,160037,165635,171265
wws_govs_co,7308121038,6909799075,8498612193,7616918589,7803406480,8120629017,7937478213,8629433222,9818705954,11535137640,10032817469,12041939814,12538519581,14735553120,15571681341,16483335324,17537523846,18702454638,19956965520,21509801384,22482065047,23928597627,25879158789,27832752741,29520492834
eprop_govs_co,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
w_govs_co,7308121038,6909799075,8498612193,7616918589,7803406480,8120629017,7937478213,8629433222,9818705954,11535137640,10032817469,12041939814,12538519581,14735553120,15571681341,16483335324,17537523846,18702454638,19956965520,21509801384,22482065047,23928597627,25879158789,27832752741,29520492834
ews_govs_co,191488,173311,200207,179150,179480,182396,172103,185552,196704,225191,197668,232168,238849,270700,274845,281746,288696,298734,307449,319188,322889,324215,336685,348184,356895
wprop_govs_co,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e_govs_co,191488,173311,200207,179150,179480,182396,172103,185552,196704,225191,197668,232168,238849,270700,274845,281746,288696,298734,307449,319188,322889,324215,336685,348184,356895
wprop_govl_co,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ews_govl_co,594920,620829,651224,656648,657322,667409,685071,700549,716500,722914,718184,713887,712255,712832,726906,742543,759981,770590,782571,796745,766801,765291,795198,835580,856952
eprop_govl_co,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
w_govl_co,18173964580,19857574434,21772394662,22719706224,23375271986,24197870784,25434802528,27099356795,28895392883,29892667064,29941933948,29877836041,30138827724,30678957850,31939374447,33644103114,35002873269,36259831162,38100148536,40280473107,41796229420,43286687439,46778549478,50706342021,55362982245
e_govl_co,594920,620829,651224,656648,657322,667409,685071,700549,716500,722914,718184,713887,712255,712832,726906,742543,759981,770590,782571,796745,766801,765291,795198,835580,856952
wws_govl_co,18173964580,19857574434,21772394662,22719706224,23375271986,24197870784,25434802528,27099356795,28895392883,29892667064,29941933948,29877836041,30138827724,30678957850,31939374447,33644103114,35002873269,36259831162,38100148536,40280473107,41796229420,43286687439,46778549478,50706342021,55362982245
